iter	Passed	Remaining
0	134	134784
1	136	68048
2	138	45896
3	139	34832
4	141	28178
5	143	23771
6	145	20608
7	147	18239
8	148	16387
9	150	14888
10	152	13712
11	154	12701
12	156	11859
13	158	11150
14	160	10520
15	162	9986
16	164	9519
17	166	9100
18	168	8716
19	171	8389
20	173	8089
21	176	7829
22	178	7580
23	180	7342
24	182	7112
25	184	6913
26	186	6736
27	189	6582
28	191	6423
29	194	6302
30	196	6155
31	198	6011
32	200	5877
33	202	5759
34	205	5653
35	207	5552
36	209	5445
37	211	5353
38	213	5264
39	215	5168
40	217	5078
41	218	4993
42	220	4907
43	222	4828
44	223	4749
45	225	4676
46	227	4606
47	228	4532
48	230	4466
49	232	4415
50	234	4359
51	235	4294
52	236	4227
53	237	4164
54	238	4104
55	239	4045
56	241	4000
57	243	3950
58	244	3902
59	246	3864
60	247	3812
61	248	3765
62	250	3719
63	251	3679
64	252	3638
65	254	3600
66	255	3562
67	256	3522
68	258	3484
69	259	3446
70	260	3409
71	261	3374
72	263	3340
73	264	3306
74	265	3275
75	267	3247
76	268	3218
77	269	3188
78	271	3162
79	272	3131
80	273	3102
81	274	3073
82	275	3038
83	276	3017
84	277	2992
85	279	2967
86	280	2942
87	281	2918
88	283	2900
89	284	2881
90	286	2858
91	287	2836
92	288	2815
93	290	2796
94	291	2774
95	292	2755
96	293	2734
97	294	2713
98	295	2693
99	297	2674
100	298	2656
101	299	2638
102	300	2620
103	301	2601
104	303	2583
105	304	2569
106	305	2553
107	307	2536
108	308	2522
109	309	2505
110	310	2489
111	311	2473
112	313	2457
113	315	2450
114	316	2436
115	317	2422
116	318	2405
117	320	2393
118	321	2379
119	322	2365
120	323	2352
121	324	2337
122	326	2324
123	327	2315
124	328	2302
125	330	2290
126	331	2279
127	332	2267
128	334	2257
129	335	2248
130	338	2242
131	339	2234
132	341	2223
133	342	2213
134	343	2203
135	345	2195
136	346	2185
137	348	2176
138	350	2168
139	351	2157
140	352	2148
141	353	2134
142	354	2126
143	356	2116
144	357	2107
145	358	2096
146	359	2086
147	361	2081
148	362	2072
149	364	2063
150	365	2054
151	366	2045
152	367	2036
153	369	2027
154	370	2018
155	371	2009
156	372	2000
157	373	1991
158	374	1982
159	376	1974
160	376	1963
161	378	1956
162	379	1948
163	380	1940
164	382	1933
165	383	1927
166	385	1921
167	386	1915
168	387	1907
169	389	1900
170	390	1893
171	392	1887
172	393	1880
173	394	1873
174	396	1867
175	397	1860
176	398	1852
177	399	1845
178	400	1838
179	402	1831
180	403	1825
181	404	1817
182	405	1812
183	407	1806
184	408	1800
185	410	1794
186	411	1789
187	413	1784
188	414	1779
189	415	1772
190	417	1767
191	418	1761
192	419	1756
193	421	1749
194	422	1743
195	423	1738
196	424	1732
197	426	1726
198	427	1720
199	428	1714
200	429	1709
201	431	1703
202	432	1697
203	433	1691
204	434	1685
205	435	1680
206	437	1674
207	438	1669
208	439	1664
209	441	1659
210	442	1654
211	443	1648
